# Program:featureCounts v2.0.2; Command:"/mnt/md127/bio-tools/featureCounts/subread-2.0.2-source/bin/featureCounts" "-T" "32" "-p" "-g" "gene_id" "-a" "/mnt/archive/Karol_organized_2020/NGSprint/genome/hg38.refGene.gtf" "-o" "FeatureCounts_all_reads.txt" "SRR6078274.sorted.bam" "SRR6078275.subread.sorted.bam" "SRR6078276.sorted.bam" "SRR6078291.subread.sorted.bam" "SRR6078292.sorted.bam" "SRR6078293.sorted.bam" 
Geneid	SRR6078274.sorted.bam	SRR6078275.subread.sorted.bam	SRR6078276.sorted.bam	SRR6078291.subread.sorted.bam	SRR6078292.sorted.bam	SRR6078293.sorted.bam
SLC30A7	4518	4069	2976	5615	4493	5488
CHTOP	1178	1515	1222	1343	1254	1575
ARSJ	1823	3466	1577	1714	3789	2527
NUS1	1073	1200	1211	1435	1206	1435
ADCK5	428	517	508	361	255	319
FLACC1	35	31	26	27	45	56
LAMC1-AS1	65	130	43	86	94	159
SMG7-AS1	23	15	22	21	30	49
PPP1R12B	444	1093	437	1560	2522	843
CAMSAP2	3735	4923	3435	4787	4410	5543
PPP2R2B	6	2	2	2	8	31
SLC4A5	30	70	32	46	60	49
AP3S2	49	104	82	107	94	74
LINC00337	2	9	6	7	4	12
CKMT1B	0	0	0	0	0	0
MIR644A	0	0	0	0	3	5
TBPL1	614	591	551	532	587	739
RFLNA	3	4	3	10	22	3
LSM12	301	328	214	290	221	333
CAPRIN2	1228	1264	1063	1489	1065	1634
CCDC82	777	1086	949	1114	1085	1658
CUL4A	4484	6211	4673	4293	3515	6460
PDCD7	963	1097	761	737	659	851
TSSC4	1380	1527	1324	1620	1376	1371
B4GALT1	3862	4113	2830	6517	6524	5156
MLNR	0	0	2	9	0	2
GAGE12I	0	0	0	0	0	0
NFIB	1306	698	128	921	996	1827
CLLU1	0	0	0	0	0	0
LINC01633	0	0	0	0	0	0
TRMT1L	1083	1090	895	1223	673	1228
SWT1	373	378	333	543	337	482
RRP7A	1516	1376	1101	1221	1100	1703
AZIN2	101	136	92	298	273	185
GS1-279B7.1	0	0	0	1	0	0
LINC01350	0	0	0	0	0	0
CD200	0	0	0	55	183	4
DOCK10	1483	4779	2867	2837	3162	4433
POU2F1	585	913	667	809	867	821
MCM3	1459	1515	1682	1003	809	3462
DEPDC4	31	31	30	39	39	51
CES4A	267	345	172	262	140	157
GRB10	1676	2591	1518	2020	3000	2297
GPATCH8	737	1228	742	1234	1173	1572
TMUB2	1890	2037	1413	2082	1714	2269
HS3ST2	0	0	0	0	0	12
TMEM132B	108	72	351	134	30	269
EZR-AS1	0	4	2	4	4	2
SCARF1	56	54	52	35	34	28
GOLGA8O	28	42	32	29	27	38
GPR161	1745	3028	1914	2356	2269	2618
PACERR	31	4	12	7	14	20
LINC01036	5	0	0	0	0	0
LINC01037	0	0	0	0	0	0
ZNF491	137	109	115	150	77	162
ZNF441	488	597	407	469	372	623
LINC01351	0	0	0	0	0	0
LINC01680	0	0	0	0	0	0
GAPDH	88333	101823	81225	49996	56554	141678
MRPL4	647	927	654	819	682	806
MIR4426	6801	6279	7751	4444	3608	4306
MED15	931	1683	934	1600	1967	2181
LINC01032	0	0	0	0	2	1
CCL3L1	0	0	0	0	0	0
NYX	0	0	0	0	0	0
TLNRD1	318	464	276	412	507	771
LMO3	29	48	0	11	4	16
GEMIN2	256	273	263	300	276	282
FOLH1	0	0	0	0	3	0
CCDC68	48	32	93	14	0	160
HRH4	0	1	0	5	2	0
MAPRE2	884	1707	922	1112	862	1941
GRM4	0	3	4	2	1	8
P2RX4	798	1141	673	716	627	766
DHRS4L1	9	21	16	23	23	16
ACP3	0	0	0	4	6	46
ATPAF1	1210	1246	938	1394	998	1199
MCU	702	1686	902	1496	1858	1603
SCARNA18B	1	1	3	4	2	5
MYO3B	15	9	8	6	4	22
MRS2	1091	764	636	1003	825	903
FAM111A	3565	3660	2965	2706	1493	4438
SLC30A3	0	0	0	0	0	0
GLRX2	378	347	433	392	440	387
EYA1	16	0	17	19	0	70
PDCD2L	114	122	84	131	145	119
PHKB	3510	3556	2992	4176	2457	2438
MIR1278	0	1	0	0	0	1
LINC01031	2	1	0	2	3	0
LINC01724	0	0	0	0	0	0
OR12D3	0	0	0	0	0	0
OR14J1	0	0	0	0	0	0
ALG9	1122	1253	945	1083	1031	1594
NME9	21	18	11	18	20	13
PPP1R15A	3809	4091	3681	2475	3857	8368
EDC4	2130	3587	2201	2793	2434	3188
ZNF420	409	420	376	454	309	355
MACIR	1033	2312	725	1318	1399	1787
PGLYRP3	0	0	0	0	0	0
GATD1	2477	3064	2105	2604	2423	2899
VPS13C	6545	11536	7560	9368	6276	8565
RFLNB	3643	4839	3756	8933	11618	8350
RC3H2	3698	5903	3155	5769	7329	5551
SERF1B	0	0	0	0	0	0
TCTEX1D2	212	180	146	153	119	172
SELENOV	0	0	0	0	0	0
DENND1B	1108	1134	818	1475	846	955
C19orf67	6	12	10	9	2	8
PLRG1	3529	3853	3365	3024	2501	3488
AMPD2	2988	4245	3105	4172	2827	3604
DPP8	2101	3140	2050	2754	2870	3204
HMGN3	586	849	752	773	650	1098
DHRS4	158	306	206	150	167	190
PCK2	3375	3492	2987	2493	6427	1230
MIR181C	0	0	0	0	0	0
TMEM185A	510	390	318	583	401	574
DYRK4	614	793	610	805	645	330
SUMO4	12	26	14	37	24	28
GGPS1	1371	1523	1310	1464	1422	1296
ARFRP1	1087	1460	1001	1418	1483	1560
PCAT1	2	0	0	0	0	0
NRP1	19932	36810	24464	10296	17527	39484
MIR181A1HG	9	18	24	41	53	11
LINC01222	0	0	0	0	0	0
LINC01221	0	0	0	0	0	0
MPIG6B	18	16	7	22	12	32
LINC00862	11	19	21	17	80	1
ODF2	1533	2349	1875	1479	1316	3391
FAM193B	1501	1847	1139	1888	1969	1637
POMT1	1882	2058	1453	1950	1315	2226
PRPSAP2	665	542	569	840	603	732
CDH10	233	10	4	24	6	12
DENND1A	752	1228	814	656	483	868
ERC2	2	2	2	0	1	2
UBE2O	1326	1818	1158	1278	1213	1511
PGM5	9	4	1	12	17	16
HNRNPC	8058	7769	7873	6588	5816	9112
GP5	8	5	0	0	2	3
ESRRA	912	1001	836	951	874	939
MLH1	1899	1983	1710	2019	1788	2533
MROH3P	0	0	0	0	0	0
FMN1	1336	1162	685	780	1424	2430
BCORL1	103	211	146	159	213	206
TCF19	579	869	1070	302	316	2720
TMEM200B	776	885	857	665	601	903
PIK3C2A	3072	3871	2776	3837	3613	3804
ZXDC	1129	1398	918	1311	1732	1272
NCKAP5	309	111	81	493	232	120
LOXL3	2108	7722	2584	1067	2138	832
USP54	385	576	410	622	355	713
SLC10A3	632	1047	599	834	698	1187
PDK3	105	304	262	297	242	361
SPDYE2B	0	0	0	0	0	0
MDM1	624	746	563	737	532	746
TMEM191B	2	17	19	2	1	1
AMOTL2	13355	21956	9772	16221	23853	17823
SAMD4A	4768	7048	3691	4470	6661	7523
GYPB	0	0	0	0	0	0
DYNC1I2	2859	3650	2672	2902	2195	3622
ACSF2	584	1082	951	540	469	672
PSMD6	2079	2156	2066	2147	1885	2259
NMT2	1264	2210	1045	755	1104	1831
PHLDA3	3756	4593	3355	4944	3200	3993
DYSF	30	62	28	156	300	31
RPS10P7	33	21	29	34	26	16
OPTN	7297	11735	6800	8535	7711	10390
IPO9-AS1	6	6	0	4	5	11
MIR5191	0	1	1	1	0	6
ILK	813	932	689	841	1038	915
H2BC1	0	0	0	0	0	0
MIR6739	2	1	2	5	4	3
SHISA4	705	955	558	1094	750	818
KIAA1211L	0	0	0	0	0	6
TOM1L1	160	453	553	344	183	125
SNORA70H	0	0	0	0	0	1
IMPDH1	2236	3859	2794	2411	2715	2441
TNPO3	3050	3548	3095	2960	3035	4237
MIR6740	0	0	0	0	0	0
PHF1	1974	1904	1603	2319	1539	2127
ARL8A	730	928	713	1184	1338	1188
TM9SF4	1623	2699	1638	2186	2162	2504
TGFB1I1	1755	3757	1814	3539	4113	1544
PHF12	418	748	384	627	769	900
DDC	0	0	0	0	0	0
PTPRVP	7	2	1	2	8	10
CARS1	4209	5205	3895	3643	5808	3924
COLEC11	6	3	0	17	4	2
PLCH1	11	6	4	114	8	29
FBXL18	924	1052	770	1255	1082	1180
FBP1	4	2	0	2	2	0
C16orf87	310	423	287	463	660	400
GBF1	3584	5750	2988	5067	4795	6025
FAM207A	242	239	178	257	289	240
PRKAG3	7	0	2	4	8	2
NENF	2624	2635	2650	1707	1454	2187
C1QTNF5	0	0	0	0	0	0
TRAF3IP1	472	909	608	789	618	1004
MGAT4EP	0	0	1	0	0	0
LOC148709	2	7	5	11	7	16
SSC5D	688	1079	477	346	160	434
STEAP2	3134	2370	851	1203	2137	4766
NOBOX	0	0	0	0	0	0
ILF2	4612	4762	4988	4909	4454	6715
FOXK2	2138	2291	1947	3063	2961	2480
ONECUT1	0	0	4	4	4	0
GPX4	10870	10927	10138	8738	5057	8575
CRYGB	0	0	0	0	0	0
NR2F1-AS1	611	449	441	1190	847	495
PRAMEF4	0	0	0	0	0	0
PLAC8	33	37	119	52	4	16
ABCC4	1745	2478	2088	3116	2236	2698
PARP6	1395	1582	1126	1708	1527	1314
FOXD2-AS1	0	16	11	12	24	2
SLC1A5	14551	21973	14147	10889	17752	8717
CERKL	3	22	13	13	7	2
GRIA3	3026	4133	3072	2787	3864	4437
STOM	10659	10656	7037	8630	6435	9724
MCIDAS	0	0	0	0	0	0
LOC283710	2	0	3	4	0	0
UPB1	0	4	0	8	4	0
RAB14	2472	3556	2471	3340	3029	3915
RHCG	0	0	0	0	0	0
MAPKBP1	1179	2237	1403	2669	2543	2228
SNHG6	1664	1007	1481	1906	1579	1091
MIR3909	2	1	4	7	4	6
ASCC2	1235	1612	1293	1638	1314	2273
LINC01353	0	2	2	0	2	0
LINC01136	0	0	0	2	0	3
SPATA2	184	291	139	247	266	261
DDHD2	1771	2586	1585	2509	2930	2918
ORMDL3	2357	2576	1683	3179	2991	3484
LOC339685	1	0	0	0	0	6
CT47A11	0	0	0	0	0	0
SNORA77	3	3	4	2	1	10
LINC00260	6	19	0	12	18	43
TCF7	87	223	88	56	47	477
ZNF268	1432	1513	1137	1392	785	1295
MYT1L	0	0	0	0	14	2
ANO4	29	128	6	77	6	84
DNAJB5	753	663	571	1408	1303	850
PPARGC1B	10	4	50	35	10	8
SLC35E2A	565	1560	791	1143	1127	1260
TNIP2	1550	1692	1397	1313	1035	1616
GZMM	2	0	4	0	0	0
NUMA1	7989	10986	7145	8885	7640	10429
STAM	1757	1913	1405	1930	1543	2604
SLC2A2	2	3	2	0	0	8
SCNN1B	2	0	0	0	0	0
LINC00303	0	0	0	0	0	0
ERLNC1	0	3	0	2	0	0
CNOT2	2749	2976	2500	3155	3067	2952
LINC00628	0	0	0	0	0	0
RAB37	2	6	10	17	4	13
SYT9	6	0	2	0	6	2
CRNKL1	2021	2003	1610	1966	1680	1930
APOA1	0	1	4	2	0	5
CIAPIN1	1285	1013	902	1512	1221	1457
RETREG1	62	28	15	186	367	901
MROH5	0	2	1	0	2	0
TOMM22	2048	1950	2037	1858	1523	1961
IQCG	272	323	227	277	271	402
PNPLA6	3097	6194	3054	4312	3631	4113
WHRN	107	59	117	148	118	195
CLUH	1828	2658	1872	2065	1789	2804
TOP2A	2775	3380	5219	392	975	27112
LMNA	43279	82053	45798	28034	23949	77658
UGT1A7	0	0	0	0	0	0
RCCD1	426	561	488	482	420	819
SYS1	1267	1047	943	1331	849	1123
TSPAN13	55	505	188	436	553	1813
SPIRE1	2027	2506	1818	3511	3188	2987
RPL22L1	2468	2490	4618	678	923	1472
CCT6A	4998	6054	6466	5073	4730	7455
TMCC2	178	208	110	306	304	461
ITGB4	21	18	26	22	371	6
LEMD1-AS1	2	1	0	0	3	1
CDKN3	250	189	405	84	109	1403
OR11H2	0	0	0	0	0	0
SCFD1	3466	3960	3036	3830	2855	3402
WDFY3-AS2	132	112	117	184	134	162
EYA4	4	0	0	110	210	41
FCGR1A	2	2	0	2	0	6
MYCT1	0	0	2	2	0	0
MFSD4A-AS1	0	0	0	0	2	0
MROH1	1141	2183	1237	1798	1399	2357
RARS2	1760	2469	1633	2272	1659	2939
CDK5RAP3	3213	4586	3034	3018	2233	3291
NAT9	1844	2207	1709	1610	1422	1483
C1orf35	278	256	287	358	258	296
LOC284581	104	6	255	217	14	6
SLC26A9	0	0	2	2	0	4
WNT3	149	183	148	207	140	104
SLC26A9-AS1	5	1	2	1	2	1
LOC103021295	19	15	9	8	4	4
IRF2BP1	846	1056	773	1475	1049	785
GALNT11	2153	3259	1744	2581	1596	2776
MCAM	180	394	242	3113	6335	313
CDC14A	117	156	159	144	204	135
EXD3	334	452	295	336	298	199
HLA-H	1848	2867	3857	1654	2279	2831
SLC22A25	0	0	0	0	0	0
ILDR2	0	2	4	50	46	0
ADCY7	3114	4917	2089	4843	4439	3593
SLC22A18	248	528	192	168	224	262
SFT2D2	3891	5425	4198	11446	6043	7270
SPEM1	0	0	0	0	0	0
MIR6769B	0	0	0	0	0	0
LARGE1	984	1247	1074	4925	2952	1645
CENPC	804	894	765	865	753	1421
PATZ1	441	531	395	509	554	379
TP53TG3B	0	0	0	0	0	0
B4GALT7	1151	1211	919	1497	1073	1041
PLAAT3	134	415	111	383	287	97
BZW2	1366	2118	1736	786	1145	2258
PCNP	21681	18191	23639	15839	13479	16061
SENP8	164	197	170	197	135	154
FBXO38	2243	2304	1884	2322	1871	2979
FCAMR	0	0	0	0	0	0
HMGCS1	2011	1727	1671	3582	1190	3626
HMGB2	1386	1811	2432	1087	748	4502
HMGB1	4309	4246	4511	3258	3058	7687
LGMN	3000	3312	2175	3836	3246	3547
PRKAG2	882	1103	457	759	1047	1301
CCL23	0	0	0	0	0	0
CPB2	1	5	5	6	3	6
E2F5	71	45	50	143	144	40
HLA-DPB1	108	468	224	119	422	105
ARHGAP5	5959	7571	6867	8819	7069	6121
GPR156	5	14	18	37	45	24
PIK3R1	4844	5953	3844	3165	1453	10070
PARPBP	162	228	231	154	92	690
ODF4	0	0	0	0	0	0
TANGO2	1378	1462	1044	1859	1121	1811
NAGS	32	39	40	46	62	96
KBTBD6	787	1109	800	730	543	895
CCZ1B	1034	820	466	1265	1429	843
ZNF155	250	285	187	302	276	281
RNF148	0	0	4	0	0	1
DHRS4L2	2	1	3	2	2	5
MRPL18	1142	1294	1358	1385	1118	1997
HSD11B1	26	10	6	8	2	203
PDIK1L	273	294	310	290	247	404
FOXR1	0	0	0	0	0	0
ZCCHC10	545	397	470	542	514	474
RPS24	18435	16395	20481	12622	11920	16202
UMODL1	8	4	4	0	4	5
MIR29B2CHG	52	54	57	140	54	56
UNG	1563	1247	928	1236	785	1052
LOC148696	40	37	21	132	66	68
KHSRP	1665	3024	2131	2331	2488	3684
LINC01717	0	0	0	0	0	0
LINC01774	0	0	0	0	0	0
LINC01696	0	0	0	0	0	0
LINC01698	0	0	0	0	0	0
ZNF818P	194	187	155	250	160	220
CTCFL	0	0	0	0	0	0
PHACTR2-AS1	9	13	1	10	7	12
REG3A	0	0	0	0	0	0
ZNF720	206	219	204	288	246	292
KANSL1	827	1690	971	2278	1815	1561
C12orf42	0	0	0	0	2	0
MIR4260	0	0	0	0	0	0
HSD11B1-AS1	1	0	0	0	2	2
MTHFD2L	275	214	217	201	207	289
TIGD6	383	494	379	390	285	477
SPRY1	568	99	85	952	1170	210
MAPK7	532	821	538	707	642	829
SLC25A34	55	58	39	36	40	92
IL25	0	0	2	2	0	0
CSF3R	2	0	2	0	2	6
A1CF	0	4	0	2	8	5
ZDHHC24	792	914	640	1095	795	1060
OSR2	2724	1791	36	947	715	1273
FAM199X	1214	1683	1115	2102	2009	1693
HCST	66	27	50	45	37	40
C1orf122	932	1211	918	1329	1038	1058
ERCC1	2688	3501	2856	2814	2742	2620
NDUFA6	1673	1652	1661	1281	1081	1843
LAMA4	49883	67108	37843	26662	47011	56746
PPP2R3C	1170	1389	1188	1100	912	1301
MAP3K9	6	10	0	12	6	19
KCNH1-IT1	0	2	6	60	41	0
RCOR3	813	1083	958	1722	1870	1109
EFCAB8	3	8	11	7	12	9
LINC00467	105	123	65	91	105	121
LINC01693	0	0	0	0	0	3
LOC91548	1	0	0	1	0	5
LPGAT1-AS1	0	0	1	2	2	0
INTS7	837	1264	947	809	803	947
KDM4E	0	0	0	0	0	0
NXNL2	43	32	32	32	15	8
GYS1	1315	1893	976	1715	1469	2907
SMC6	1831	2302	1751	2058	2071	2597
MLST8	479	801	511	866	641	779
RPL21P28	230	192	297	102	138	142
MIR3122	0	0	0	0	0	0
LINC02608	1	3	1	0	2	3
INTS10	1964	2090	1731	1907	1926	2370
SNORA16B	0	1	0	1	1	2
TCTE1	0	8	4	0	1	2
H2AC21	408	272	699	142	144	440
THPO	12	10	20	10	17	0
CELF3	8	8	7	0	4	6
PIGU	342	416	345	455	247	723
AQP10	0	0	0	2	2	2
ELF5	0	0	2	0	0	0
ERP29	4479	4982	5093	4365	2669	4278
UBXN11	300	364	240	319	185	427
RHOA	22047	29908	20372	19924	18363	27237
SLC9A3	229	542	240	345	201	339
VKORC1L1	1600	2246	1876	2720	2497	2709
NEDD4	1991	2786	2425	3410	3374	4566
C12orf49	1923	2032	1824	2693	2356	2635
TXNRD1	20259	15687	11188	17808	15101	18008
UNC5D	0	0	0	0	0	2
GNAL	49	29	52	62	23	37
DLG2	48	56	54	154	85	107
VCAN	44275	37291	18748	65796	111592	39639
SLC7A9	7	0	11	7	3	2
PROX1-AS1	0	0	0	0	0	0
LINC00538	0	0	0	0	0	0
DENND11	829	1010	762	1010	836	755
CRYAB	1660	2353	1060	2217	2024	4009
ME2	1142	1402	1258	933	1089	1560
KCNH5	39	0	0	0	2	0
ADGRE3	0	0	0	0	0	0
PPP1R16A	777	945	780	1167	688	769
CDH8	4	52	7	779	769	38
CYSLTR1	0	0	0	0	2	0
SAMD10	25	37	24	70	57	58
GCNT7	16	28	15	23	25	47
DTNB	148	169	151	114	59	196
LOC102723833	0	0	0	0	0	0
CT45A5	0	0	0	0	0	0
BLOC1S2	1410	1513	1339	1862	1126	1839
NFATC1	361	498	219	571	366	468
CCDC12	375	563	427	490	460	542
SLC29A1	252	110	140	1721	978	465
TRABD2A	53	122	47	23	20	90
DEF8	2305	2356	2246	2236	1824	2515
C11orf24	1679	2759	1356	2642	2541	3223
AZI2	1818	1837	1647	2075	1743	1223
DUOXA1	8	11	3	6	2	0
ZNF275	515	798	473	726	790	1138
FRMD5	118	171	252	287	417	388
SPATA17-AS1	0	0	0	0	0	0
LINC01653	0	0	0	0	0	0
TGFB2-AS1	0	0	0	5	2	1
RASD2	9	19	4	16	18	26
POLD1	648	809	802	658	580	1279
MIR618	0	1	0	0	0	0
MIR548F3	1	0	0	1	0	0
TGFB2-OT1	0	0	0	0	0	0
LINC01710	0	0	0	0	0	0
LYPLAL1-DT	9	7	6	9	8	9
DMWD	938	1572	913	1354	1444	1302
DEFB4A	0	0	0	0	0	0
CRYBA4	0	2	0	0	4	0
LYPLAL1-AS1	12	17	2	10	5	30
HAVCR1	0	0	0	0	0	0
NSF	1902	2368	1568	2249	1425	3149
MRPL43	1557	1633	1594	1680	1375	1674
FHL5	0	0	0	0	0	0
ATRAID	4084	3963	4782	4222	2756	3651
KIAA0586	651	1161	675	827	733	2179
JAGN1	946	826	962	814	994	917
DCTN5	3627	4413	2882	4496	4068	4108
ALG10	244	243	220	298	335	412
UNC5CL	4	5	2	0	3	7
CENPH	138	204	314	77	123	814
MARCKSL1	258	243	368	340	576	1066
SUN5	0	0	0	0	0	0
TTL	3348	4787	3893	3954	3318	7597
SNORA36B	0	1	0	0	0	0
AURKAP1	40	24	61	60	37	285
PEPD	2550	3425	2685	3346	1542	3048
EDNRA	212	105	219	390	284	292
DCAF4	777	757	921	609	591	686
DNAH14	321	258	452	494	251	467
HLA-E	12424	16885	13038	8641	7372	13775
RNU6ATAC35P	0	0	2	0	0	2
LINC01352	31	63	38	35	12	38
HLX-AS1	16	19	8	10	4	9
NNT	4372	5838	4272	5802	4201	5161
RABGGTB	1825	2085	2059	1765	2553	1326
USP10	1468	2234	1581	1430	1830	2588
LINC01655	0	3	3	1	2	21
LINC02257	5	3	5	27	11	47
LINC02474	0	0	0	0	0	0
ALDH3B1	1891	3719	2351	1216	1378	1553
ZNF12	1791	1970	1337	2071	1744	1647
TAF1A-AS1	26	31	10	43	36	18
ZNF764	211	248	182	257	258	190
YIPF1	933	857	735	843	755	1058
CD1A	0	0	0	0	0	0
ZNF81	449	577	419	665	504	466
ELK1	1049	1636	949	1355	1469	1668
MUC1	106	128	71	180	114	89
FAM177B	0	0	0	4	4	0
HERC1	5532	8174	5785	9073	7641	8447
OR52A1	0	0	0	0	0	0
ADRA1D	52	209	17	36	99	117
NAPRT	559	683	975	580	132	503
IL17RC	1184	1388	1073	1268	831	1222
ALPL	12	27	6	34	335	65
SOCS1	28	70	79	43	20	22
SNX25	1041	1396	991	1382	1453	1771
GTF2F1	2744	3749	2684	3184	2783	3922
LOC100287497	152	180	122	293	267	163
TSHZ1	1012	2013	1473	1428	919	1506
LOC101927143	0	2	0	0	2	0
LOC101927164	0	1	1	4	1	4
CPXCR1	0	0	0	0	0	0
ATG4B	1594	1916	1297	1825	1818	1944
SPTLC1	4956	4555	4179	4379	3226	5335
HK1	4287	7375	3742	5480	6183	9954
RHBG	0	0	0	1	0	0
MIR4742	2	2	0	1	1	2
LOC389831	0	0	0	0	0	0
ACVR1	1639	2682	1927	1973	1621	2306
CTIF	4016	4533	2524	7125	9720	3767
ZDHHC16	1376	1474	1203	1709	1408	1776
FAM114A1	9363	14197	8517	10286	11007	14706
SIPA1L2	2312	1042	3102	1403	1367	1731
TTN	526	837	1119	1127	847	1232
SRGAP2B	761	403	329	337	565	544
PYCR2	1713	1822	1717	1712	1621	1796
MIR6741	0	2	2	2	2	2
CAGE1	12	3	4	12	5	9
TUNAR	0	0	0	0	0	0
ACBD3-AS1	9	7	6	9	10	12
GLOD4	1635	1638	1422	1676	1288	2804
TMEM217	58	35	13	65	81	63
POT1	785	836	762	626	583	699
PTPN20	2	6	44	8	49	2
PDE1A	1098	812	9	977	197	156
ABCB8	946	1245	932	1147	859	1572
ITPKB-IT1	0	0	0	3	2	4
RHOD	600	514	719	1245	237	292
CHIC1	660	847	583	996	481	1069
PER3	882	1111	678	990	768	1787
ZNF302	1325	1369	1042	1513	1105	1436
ELOVL6	371	618	500	572	372	853
SLC10A4	0	0	0	0	6	0
FBXO15	10	5	18	11	3	23
SLC38A1	10217	6040	10065	10398	11287	5452
PRAMEF8	0	0	0	0	0	0
RGS22	8	0	2	16	4	17
KNOP1	887	1143	867	848	816	1239
ACSM5	2	0	0	87	10	44
AIM2	2	2	4	2	0	12
ZNF678	247	300	341	281	251	535
ZNF847P	0	0	0	0	0	0
SERPINA12	0	0	0	0	0	0
PGD	3149	2752	3398	4347	2081	4204
KRTAP4-9	0	0	0	0	0	2
RBMY1B	0	0	0	0	0	0
ALAS1	1178	1636	1132	1987	1506	2982
PARD3	2054	2661	2070	1778	1649	2237
NGLY1	1180	1418	1171	968	883	1068
MIR5008	2	1	0	0	0	0
LOC107985355	0	0	0	0	4	0
EI24	3325	3284	2851	3906	3042	4395
TMEM201	239	417	336	330	426	574
RAB17	8	9	6	35	27	14
OTUD6B	446	605	466	588	639	700
MIR3620	0	0	0	0	0	1
METTL25	312	359	270	331	238	267
TLK1	1562	1654	1279	2173	1193	1841
SLAIN1	0	0	0	2	0	0
ITGAL	2	0	6	0	1	1
WDR61	1224	1227	1199	1390	1143	1611
FAM155B	0	0	0	0	0	0
GSC2	0	0	0	0	0	0
IBA57-DT	6	7	4	9	8	7
OBSCN-AS1	6	10	6	11	11	7
CAPN2	15352	30879	16755	23631	18041	27601
VPS9D1	1033	1499	877	1091	795	881
LRP10	12007	18949	9438	20673	13250	20853
DNASE1L3	2	0	0	0	0	0
CCNDBP1	2672	2997	1820	2520	2306	3092
INTS6	2139	2871	1871	2195	2369	2426
PWP2	0	0	0	0	0	0
FADS2	3421	4776	8842	14383	4778	4327
SEMA4F	351	752	449	404	219	708
RRM2	562	872	1536	97	272	4425
PLCB4	418	1212	713	1099	2384	1464
MIR6742	0	0	0	0	1	0
GPR39	49	27	39	18	7	35
PTK2B	477	251	168	480	481	189
MIR4666A	0	0	0	0	0	0
RNA5S1	0	0	0	0	0	0
RNA5S2	0	0	0	0	0	0
RNA5S3	0	0	0	0	0	0
RNA5S4	0	0	0	0	0	0
RNA5S5	0	0	0	0	0	0
RNA5S6	0	0	0	0	0	0
RNA5S7	0	0	0	0	0	0
RNA5S8	0	0	0	0	0	0
RNA5S10	0	0	0	0	0	0
RNA5S11	0	0	0	0	0	0
RNA5S12	0	0	0	0	0	0
RNA5S13	0	0	0	0	0	0
RNA5S14	0	0	0	0	0	0
RNA5S15	0	0	0	0	0	0
RNA5S16	0	0	0	0	0	0
RNA5S17	0	0	0	0	0	0
RNA5S9	0	0	0	2	0	0
DUSP5P1	16	66	60	46	47	71
MIR4454	0	0	0	0	0	0
LOC105373159	18	34	16	34	38	25
GRM8	0	4	1	0	0	0
PTPRF	2751	4826	2443	3863	4302	4379
NUCB2	3839	5071	4342	3350	2186	4459
GABPB2	993	1407	1040	951	712	1092
LOC101927478	1	0	0	1	0	3
MAPK8	1078	1378	1230	1554	1672	1395
EXTL1	36	167	84	1188	560	179
SAMD12	299	269	89	267	166	45
LINC01682	0	0	0	0	0	0
LINC01736	0	0	0	0	0	0
ZNF106	8266	13392	8512	15335	7535	13590
LINC01737	0	0	0	0	0	0
OCM	0	0	0	0	0	0
SRI	1847	2199	1557	1749	1617	2719
SPAG5	433	670	903	115	192	5101
LOC101927604	14	21	8	34	22	13
CLHC1	175	210	184	539	453	142
CATSPERG	19	13	8	35	40	8
PNPLA7	115	273	214	389	40	189
MIR1182	0	0	0	0	0	0
UBTF	3946	4558	3840	3476	2414	4064
RBMS3	7189	7772	5639	5777	6123	3833
KRT33A	0	0	0	0	0	0
KLF12	1145	2351	1408	2036	1769	2286
SLC30A6	1970	1977	1559	2738	2143	2555
ARHGAP11A	365	1050	753	272	231	3825
SNRPD2P2	0	0	0	0	1	1
TSNAX-DISC1	0	1	0	2	2	3
TCAF2	89	89	60	90	72	200
LINC00582	0	0	3	0	0	1
FN1	2048343	2372793	2377263	1532483	3938241	1634206
SLC35B1	1336	1582	1198	1761	1376	2152
CCNI2	4	3	3	2	13	2
SHROOM1	259	461	371	327	242	337
C10orf88	346	469	394	471	533	571
JADE2	1907	1799	1072	1526	662	4163
SLC25A48	0	2	0	0	0	0
LILRA2	0	0	0	0	0	0
DISC1-IT1	1	0	0	8	0	0
LINC01745	0	0	0	0	0	0
LINC01744	0	0	0	0	0	0
KAT6B	1430	2372	1558	1347	982	2237
NTPCR	1495	1194	1120	1517	878	1081
PLEKHB2	2530	3800	2900	4045	4226	6546
SIRT2	2181	2908	1875	2526	1972	2349
LMO4	2384	2123	2051	5903	7170	3740
FUT6	0	0	0	0	2	0
MIR4427	0	0	2	0	0	1
BNIP1	411	559	490	381	297	415
SLC35F3	0	0	0	0	0	2
MIR4671	0	0	0	0	0	0
COA6-AS1	20	13	29	18	21	17
ROBO2	1939	240	51	360	214	132
OR7C1	0	0	0	0	0	2
SEC24D	5923	8950	5492	7802	8803	8938
LINC00184	1	1	0	4	1	2
LOC101927787	0	0	0	0	0	1
LINC01132	0	0	0	0	0	15
PP2672	0	0	0	0	0	0
LOC101927851	0	0	0	3	1	8
TSSK1B	2	2	0	2	0	2
EIF2A	4654	4574	4600	3526	3002	3248
DMBX1	0	0	0	0	0	0
SNORA14B	8	14	6	18	22	29
FAM236C	0	0	0	0	0	0
PRKCQ	0	1	4	2	1	0
